name,caption
864.png,Покемон типа призрака
865.png,Покемон боевого типа
866.png,Покемон типа льда и психического типа
867.png,Покемон наземного типа и призрачного типа
868.png,Сказочный покемон
869.png,Сказочный покемон
870.png,Покемон боевого типа
871.png,Покемон электрического типа
872.png,Покемон типа льда и типа жука
873.png,Покемон типа льда и типа жука
874.png,Покемон рок-типа
875.png,Ледяной покемон
876.png,Покемон психического типа и нормального типа
877.png,Электрический и темный покемон
878.png,Стальной покемон
879.png,Стальной покемон
880.png,Покемон с электрическим типом и драконом
881.png,Электрический и ледяной покемон
882.png,Покемон типа воды и дракона
883.png,Покемон типа воды и ледяного типа
884.png,Покемон типа стального и дракона
885.png,Покемон типа дракона и призрачного типа
886.png,Покемон типа дракона и призрачного типа
887.png,Покемон типа дракона и призрачного типа
888.png,Сказочный покемон
889.png,Покемон боевого типа
890.png,Покемон типа ядовитого типа и дракона
891.png,Покемон боевого типа
892.png,Боевой и темный покемон
893.png,Темный и травяной покемон
894.png,Покемон электрического типа
895.png,Покемон типа дракона
896.png,Ледяной покемон
897.png,Покемон типа призрака
898.png,Покемон психического типа и травяного типа
899.png,Покемон нормального типа и психического типа
900.png,Покемон типа ошибки и рок-типа
901.png,Покемон наземного типа и нормального типа
902.png,Покемон типа воды и призрачного типа
903.png,Покемон боевого типа и ядовитого типа
904.png,Темный и ядовитый покемон
905.png,Сказочный и покемон с летающим типом
10001.png,Покемон психического типа
10002.png,Покемон психического типа
10003.png,Покемон психического типа
10004.png,Тип ошибки и покемонов наземного типа
10005.png,Покемон типа ошибки и стального типа
10006.png,Покемон типа травы и летающего типа
10007.png,Тип призрака и покемонов типа дракона
10008.png,Электрический тип и покемон огня
10009.png,Электрический тип и покемон воды
10010.png,Электрический и ледяной покемон
10011.png,Электрический тип и покемонов летающего типа
10012.png,Электрический и травяной покемон
10013.png,Покемон огня
10014.png,Покемон воды
10015.png,Ледяной покемон
10016.png,Покемон воды
10017.png,Покемон огня и психического типа
10018.png,Покемон нормального типа и боевого типа
10019.png,Покемон летающего типа
10020.png,Электрический тип и покемонов летающего типа
10021.png,Покемон наземного типа и летающего типа
10022.png,Покемон типа дракона и ледяного типа
10023.png,Покемон типа дракона и ледяного типа
10024.png,Покемон с водным типом и боевым типом
10025.png,Покемон психического типа
10026.png,Стальной и призрачный покемон
10027.png,Тип призрака и покемонов типа травы
10028.png,Тип призрака и покемонов типа травы
10029.png,Тип призрака и покемонов типа травы
10030.png,Тип призрака и покемонов типа травы
10031.png,Тип призрака и покемонов типа травы
10032.png,Тип призрака и покемонов типа травы
10033.png,Покемон типа травы и ядовитого типа
10034.png,Покемон типа огня и дракона
10035.png,Покемон пожарного типа и летающий
10036.png,Покемон воды
10037.png,Покемон психического типа
10038.png,Тип призрака и покемонов
10039.png,Покемон нормального типа
10040.png,Покемон типа ошибки и летающий
10041.png,Покемон воды и темного типа
10042.png,Тип рок-типа и покемонов летающего типа
10043.png,Психический тип и покемон с боевым типом
10044.png,Покемон психического типа
10045.png,Покемон с электрическим типом и драконом
10046.png,Покемон типа ошибки и стального типа
10047.png,Тип ошибки и покемонов с боевым типом
10048.png,Темный и огненный покемон
10049.png,Тип рок-типа и покемонов темного типа
10050.png,Покемон пожарного типа и боевого типа
10051.png,Покемон психического типа и сказочного типа
10052.png,Стальной и сказочный покемон
10053.png,Стальной покемон
10054.png,Покемон боевого типа и психического типа
10055.png,Покемон электрического типа
10056.png,Покемон типа призрака
10057.png,Темный покемон
10058.png,Покемон типа дракона и наземного типа
10059.png,Покемон боевого типа и стального типа
10060.png,Покемон типа травы и ледяного типа
10062.png,Покемон типа дракона и психического типа
10063.png,Покемон типа дракона и психического типа
10064.png,Покемон типа воды и наземного типа
10065.png,Покемон типа травы и дракона
10066.png,Темный тип и покемонов призрачного типа
10067.png,Покемон типа дракона и сказок
10068.png,Психический тип и покемон с боевым типом
10069.png,Покемон нормального типа и сказочного типа
10070.png,Покемон воды и темного типа
10071.png,Покемон типа воды и психического типа
10072.png,Стальной и наземной покемон
10073.png,Покемон нормального типа и летающего типа
10074.png,Ледяной покемон
10075.png,Тип рок-типа и покемонов
10076.png,Стальной и психический покемон
10077.png,Покемон воды
10078.png,Покемон наземного типа и огненного типа
10079.png,Покемон типа дракона и летающий
10080.png,Покемон электрического типа
10081.png,Покемон электрического типа
10082.png,Покемон электрического типа
10083.png,Покемон электрического типа
10084.png,Покемон электрического типа
10086.png,Психический тип и покемон темного типа
10087.png,Покемон пожарного типа и наземного типа
10088.png,Покемон нормального типа и боевого типа
10089.png,Покемон типа дракона и летающий
10090.png,Покемон типа ошибок и ядовитого типа
10091.png,Покемон темного типа и нормального типа
10092.png,Покемон темного типа и нормального типа
10093.png,Покемон темного типа и нормального типа
10094.png,Покемон электрического типа
10095.png,Покемон электрического типа
10096.png,Покемон электрического типа
10097.png,Покемон электрического типа
10098.png,Покемон электрического типа
10099.png,Покемон электрического типа
10100.png,Электрический тип и покемон психического типа
10101.png,Покемон типа льда и стального типа
10102.png,Покемон типа льда и стального типа
10103.png,Ледяной покемон
10104.png,Покемон типа льда и сказочного типа
10105.png,Покемон наземного типа и стального типа
10106.png,Покемон наземного типа и стального типа
10107.png,Темный покемон
10108.png,Темный покемон
10109.png,Покемон типа рок-типа и электрический тип
10110.png,Покемон типа рок-типа и электрический тип
10111.png,Покемон типа рок-типа и электрический тип
10112.png,Ядовитый и темный покемон
10113.png,Ядовитый и темный покемон
10114.png,Покемон типа травы и дракона
10115.png,Покемон типа огня и призрака
10117.png,Покемон воды и темного типа
10118.png,Покемон типа дракона и наземного типа
10119.png,Покемон типа дракона и наземного типа
10120.png,Покемон типа дракона и наземного типа
10123.png,Электрический тип и покемонов летающего типа
10124.png,Психический тип и покемонов летающего типа
10125.png,Тип призрака и покемонов летающего типа
10126.png,Покемон рок-типа
10127.png,Покемон воды
10128.png,Покемон типа травы
10129.png,Покемон типа ядовитого типа и
10136.png,Тип рок-типа и покемонов летающего типа
10144.png,Тип призрака и покемон сказочного типа
10146.png,Тип дракона и покемонов с боевым типом
10148.png,Покемон электрического типа
10149.png,Покемон типа огня и призрака
10150.png,Тип ошибки и покемон сказочного типа
10151.png,Покемон рок-типа
10152.png,Покемон рок-типа
10153.png,Покемон типа воды и типа ошибки
10154.png,Электрический и стальной покемон
10155.png,Покемон психического типа и стального типа
10156.png,Покемон психического типа и призрачного типа
10157.png,Покемон психического типа и дракона
10160.png,Покемон электрического типа
10161.png,Стальной покемон
10162.png,Покемон психического типа
10163.png,Покемон психического типа и сказочного типа
10164.png,Покемон психического типа
10165.png,Покемон
10166.png,Покемон боевого типа
10167.png,Ядовитый и сказочный покемон
10168.png,Покемон типа льда и психического типа
10169.png,Психический тип и покемонов летающего типа
10170.png,Покемон боевого типа и летающий
10171.png,Темный тип и покемонов летающего типа
10172.png,Покемон
10173.png,Покемон типа призрака
10174.png,Покемон темного типа и нормального типа
10175.png,Покемон темного типа и нормального типа
10176.png,Ледяной покемон
10177.png,Ледяной покемон
10179.png,Покемон наземного типа и призрачного типа
10180.png,Покемон наземного типа и стального типа
10184.png,Электрический и ядовитый покемон
10185.png,Ледяной покемон
10186.png,Покемон психического типа и нормального типа
10188.png,Сказочный и стальной покемон
10189.png,Покемон боевого типа и стального типа
10191.png,Покемон боевого типа и воды
10193.png,Покемон психического типа и ледяного типа
10194.png,Покемон психического типа и призрачного типа
10195.png,Покемон типа травы и ядовитого типа
10196.png,Покемон пожарного типа и летающий
10197.png,Покемон воды
10198.png,Покемон типа ошибки и летающий
10199.png,Покемон электрического типа
10200.png,Покемон нормального типа
10201.png,Покемон боевого типа
10202.png,Тип призрака и покемонов
10203.png,Покемон воды
10204.png,Покемон типа воды и ледяного типа
10205.png,Покемон нормального типа
10206.png,Покемон нормального типа
10207.png,Покемон ядовитого типа
10208.png,Стальной покемон
10209.png,Покемон типа травы
10210.png,Покемон огня
10211.png,Покемон воды
10212.png,Покемон летательного типа и стального типа
10213.png,Покемон типа ошибки и психического типа
10214.png,Покемон типа воды и рок-типа
10215.png,Покемон типа рок-типа и огненного типа
10216.png,Покемон типа травы и дракона
10217.png,Покемон типа травы и дракона
10218.png,Покемон наземного типа
10219.png,Электрический и ядовитый покемон
10220.png,Покемон типа огня и типа ошибки
10221.png,Покемон психического типа и сказочного типа
10222.png,Темный и сказочный покемон
10223.png,Сказочный покемон
10224.png,Стальной покемон
10225.png,Покемон типа стального и дракона
10226.png,Боевой и темный покемон
10227.png,Покемон боевого типа и воды
10228.png,Электрический и ядовитый покемон
10229.png,Покемон типа огня и рок-типа
10230.png,Покемон типа огня и рок-типа
10231.png,Электрический и травяной покемон
10232.png,Электрический и травяной покемон
10233.png,Покемон типа огня и призрака
10234.png,Темный и ядовитый покемон
10235.png,Покемон боевого типа и ядовитого типа
10236.png,Покемон воды и темного типа
10237.png,Покемон типа травы и боевого типа
10238.png,Покемон нормального типа и призрачного типа
10239.png,Покемон нормального типа и призрачного типа
10240.png,Психический тип и покемонов летающего типа
10241.png,Покемон типа стального и дракона
10242.png,Покемон типа стального и дракона
10243.png,Покемон типа льда и рок-типа
10244.png,Покемон типа травы и боевого типа
10245.png,Покемон типа стального и дракона
10246.png,Покемон типа воды и дракона
10247.png,Покемон воды
10248.png,Покемон типа воды и призрачного типа
10249.png,Сказочный и покемон с летающим типом
